	Original ID	Gene Name in CARD	ARO	Database
0	gi|685986723|ref|WP_031693046.1|	MexD	3000801	sarg
1	gi|401627486|gb|EJS45355.1|	vanS gene in vanA cluster	3002931	sarg
2	gi|1011730119|ref|WP_062573757.1|			sarg
3	ZP_02346204	mecA	3000617	sarg
4	gi|693142320|ref|WP_032282771.1|	arnA	3002985	sarg
5	gi|403219413|emb|CCJ27775.1|	vanW gene in vanB cluster	3002964	sarg
6	gi|585316383|ref|WP_024198049.1|	emrA	3000027	sarg
7	gi|921965278|ref|WP_053259068.1|	tet(A)	3000165	sarg
8	AAP69912	cphA4	3003100	sarg
9	Q8XL56	bacA	3002986	sarg
10	gi|555230110|ref|WP_023217569.1|	emrA	3000027	sarg
11	gi|537465722|ref|WP_020977229.1|	Bacillus subtilis mprF	3003324	sarg
12	gi|730485971|ref|WP_034026648.1|	MexH	3000807	sarg
13	WP_087879616.1	MCR-3.1	3004139	sarg
14	JN596280.1.gene2.p01	AAC(6')-33	3002587	sarg
15	AAC77110	Escherichia coli ampC beta-lactamase	3004290	sarg
16	gi|896068789|ref|WP_049113405.1|	TolC	3000237	sarg
17	AAR37061	vanX gene in vanD cluster	3003070	sarg
18	gi|1039567692|ref|WP_064895059.1|	blaF	3003562	sarg
19	YP_404705	TolC	3000237	sarg
20	AY619003.1.gene1.p01	OXA-63	3001764	sarg
21	gi|1031822889|ref|WP_064150402.1|	macB	3000535	sarg
22	gi|979843370|ref|WP_059352973.1|	FosB2	3005100	sarg
23	gi|487359712|ref|WP_001634830.1|	arnA	3002985	sarg
24	gi|738463945|ref|WP_036414705.1|	mdtH	3001216	sarg
25	gi|694084724|ref|WP_032429554.1|	hmrM	3003953	sarg
26	gi|779958640|ref|WP_045406001.1|	macA	3000533	sarg
27	gi|555116142|gb|ESM59081.1|	Klebsiella pneumoniae acrA	3004041	sarg
28	gi|1040980156|ref|WP_065180656.1|	FosB2	3005100	sarg
29	gi|649497305|gb|KDS05771.1|	sdiA	3000826	sarg
30	AAK28907	ErmX	3000596	sarg
31	M80346.gene.p01	carA	3002817	sarg
32	gi|56792344|gb|AAW30455.1|	lsaA	3000300	sarg
33	gi|481041940|ref|WP_001296316.1|	emrB	3000074	sarg
34	gi|1006147757|ref|WP_061732287.1|	Bacillus subtilis mprF	3003324	sarg
35	gi|754952496|ref|WP_042308660.1|	hmrM	3003953	sarg
36	CAE53425	sul2	3000412	sarg
37	YP_001025937	adeG	3000778	sarg
38	Q00937	tetQ	3000191	sarg
39	gi|643600642|ref|WP_025237187.1|	mdtH	3001216	sarg
40	gi|489956332|ref|WP_003859639.1|	sdiA	3000826	sarg
41	ZP_02903696	macB	3000535	sarg
42	ACJ61335	CARB-10	3002249	sarg
43	gi|489009547|ref|WP_002920107.1|	cmeB	3000784	sarg
44	gi|983475260|ref|WP_060633232.1|	TolC	3000237	sarg
45	gi|1031632947|gb|ANG13589.1|	TEM-207	3001384	sarg
46	gi|693581505|dbj|BAP68286.1|	OpmH	3003682	sarg
47	gi|685983085|ref|WP_031690281.1|	MexF	3000804	sarg
48	AAK49460	OXA-35	3001429	sarg
49	JQ733575.1.gene2.p01	CMY-78	3002091	sarg
50	gi|911859034|ref|WP_050157472.1|	macA	3000533	sarg
51	gi|446590244|ref|WP_000667590.1|	mdtC	3000794	sarg
52	gi|1034011099|ref|WP_064484002.1|	PDC-137	3006514	sarg
53	gi|554963100|ref|WP_023207486.1|	mdtM	3001214	sarg
54	gi|487676134|ref|WP_001761182.1|	arnA	3002985	sarg
55	gi|486207170|ref|WP_001553222.1|	arnA	3002985	sarg
56	AAA92254	ANT(4')-Ib	3003905	sarg
57	gi|896284460|ref|WP_049268309.1|	TolC	3000237	sarg
58	gi|663330365|ref|WP_030329892.1|	novA	3002522	sarg
