input_sequence_id	input_file_name	gene_symbol	gene_name	reference_database_id	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	sequence_identity	input_protein_start	input_protein_stop	input_gene_start	input_gene_stop	reference_protein_start	reference_protein_stop	reference_gene_start	reference_gene_stop	strand_orientation	coverage_depth	coverage_percentage	coverage_ratio	reference_gene_length	reference_protein_length	input_gene_length	input_protein_length	drug_class	antimicrobial_agent	resistance_mechanism
GMGC10.043_080_310.UNKNOWN	GMGC10.wastewater.95nr.faa	fusH	fusidic_acid__fusH	sarg_db	2.0	fusidic_acid__fusH_train_msa	ARGs-OAP	2.0																		fusidic_acid		
GMGC10.038_777_938.TDCA	GMGC10.wastewater.95nr.faa	mexT	multidrug__mexT	sarg_db	2.0	multidrug__mexT_train_msa	ARGs-OAP	2.0																		multidrug		
GMGC10.005_943_243.CPXA	GMGC10.wastewater.95nr.faa	vanS	vancomycin__vanS	sarg_db	2.0	vancomycin__vanS_train_msa	ARGs-OAP	2.0																		vancomycin		
GMGC10.016_764_219.SUGE	GMGC10.wastewater.95nr.faa	ykkD	multidrug__ykkD	sarg_db	2.0	multidrug__ykkD_train_msa	ARGs-OAP	2.0																		multidrug		
GMGC10.033_532_520.SUGE	GMGC10.wastewater.95nr.faa	ykkD	multidrug__ykkD	sarg_db	2.0	multidrug__ykkD_train_msa	ARGs-OAP	2.0																		multidrug		
GMGC10.033_532_520.SUGE	GMGC10.wastewater.95nr.faa	ykkC	multidrug__ykkC	sarg_db	2.0	multidrug__ykkC_train_msa	ARGs-OAP	2.0																		multidrug		
GMGC10.024_789_503.QACE	GMGC10.wastewater.95nr.faa	emrE	multidrug__emrE	sarg_db	2.0	multidrug__emrE_train_msa	ARGs-OAP	2.0																		multidrug		
GMGC10.015_797_678.UNKNOWN	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug		
GMGC10.011_120_555.HP1	GMGC10.wastewater.95nr.faa	tet34	tetracycline__tet34	sarg_db	2.0	tetracycline__tet34_train_msa	ARGs-OAP	2.0																		tetracycline		
GMGC10.035_037_882.UNKNOWN	GMGC10.wastewater.95nr.faa	mdtO	multidrug__mdtO	sarg_db	2.0	multidrug__mdtO_train_msa	ARGs-OAP	2.0																		multidrug		
GMGC10.008_204_986.DDPX	GMGC10.wastewater.95nr.faa	vanX	vancomycin__vanX	sarg_db	2.0	vancomycin__vanX_train_msa	ARGs-OAP	2.0																		vancomycin		
GMGC10.042_594_820.UNKNOWN	GMGC10.wastewater.95nr.faa	aac(3)-I	aminoglycoside__aac_3__I	sarg_db	2.0	aminoglycoside__aac_3__I_train_msa	ARGs-OAP	2.0																		aminoglycoside		
GMGC10.019_952_298.UNKNOWN	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug		
GMGC10.011_909_052.SP_1863	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug		
GMGC10.031_686_056.SP_1863	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug		
GMGC10.041_450_619.UNKNOWN	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug		
GMGC10.037_255_217.ADCR	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug		
GMGC10.018_111_787.UNKNOWN	GMGC10.wastewater.95nr.faa	aac(3)-I	aminoglycoside__aac_3__I	sarg_db	2.0	aminoglycoside__aac_3__I_train_msa	ARGs-OAP	2.0																		aminoglycoside		
GMGC10.031_382_227.UNKNOWN	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug		
GMGC10.004_248_380.SP_1863	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug		
GMGC10.037_178_200.SP_1863	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug		
GMGC10.019_975_364.RMAH	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug		
GMGC10.043_155_950.EMRE	GMGC10.wastewater.95nr.faa	emrE	multidrug__emrE	sarg_db	2.0	multidrug__emrE_train_msa	ARGs-OAP	2.0																		multidrug		
GMGC10.019_805_418.ADCR	GMGC10.wastewater.95nr.faa	marR	multidrug__marR	sarg_db	2.0	multidrug__marR_train_msa	ARGs-OAP	2.0																		multidrug		
GMGC10.014_501_477.GPT	GMGC10.wastewater.95nr.faa	tet34	tetracycline__tet34	sarg_db	2.0	tetracycline__tet34_train_msa	ARGs-OAP	2.0																		tetracycline		
GMGC10.002_957_775.GPT	GMGC10.wastewater.95nr.faa	tet34	tetracycline__tet34	sarg_db	2.0	tetracycline__tet34_train_msa	ARGs-OAP	2.0																		tetracycline		
GMGC10.022_395_490.GPT	GMGC10.wastewater.95nr.faa	tet34	tetracycline__tet34	sarg_db	2.0	tetracycline__tet34_train_msa	ARGs-OAP	2.0																		tetracycline		
GMGC10.019_883_073.YAFP	GMGC10.wastewater.95nr.faa	aac(2')-I	aminoglycoside__aac_2___I	sarg_db	2.0	aminoglycoside__aac_2___I_train_msa	ARGs-OAP	2.0																		aminoglycoside		
