input_sequence_id	input_file_name	gene_symbol	gene_name	reference_database_id	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	sequence_identity	input_protein_start	input_protein_stop	input_gene_start	input_gene_stop	reference_protein_start	reference_protein_stop	reference_gene_start	reference_gene_stop	strand_orientation	coverage_depth	coverage_percentage	coverage_ratio	reference_gene_length	reference_protein_length	input_gene_length	input_protein_length	drug_class	antimicrobial_agent	resistance_mechanism
GMGC10.025_807_996.UNKNOWN	GMGC10.95nr_block_0001	crpP	ciprofloxacin resistance protein CrpP	ncbi	2021-Mar-27	NG_062203.1	abricate	abricate 1.0.1	94.44			13	210					+		100.0						FLUOROQUINOLONE		
GMGC10.011_421_809.UNKNOWN	GMGC10.95nr_block_0002	crpP	ciprofloxacin resistance protein CrpP	ncbi	2021-Mar-27	NG_062203.1	abricate	abricate 1.0.1	98.99			49	246					+		100.0						FLUOROQUINOLONE		
GMGC10.013_153_847.UNKNOWN	GMGC10.95nr_block_0002	vanU-G	glycopeptide resistance transcriptional regulator VanU	ncbi	2021-Mar-27	NG_048466.1	abricate	abricate 1.0.1	100.0			1	228					+		100.0						VANCOMYCIN		
GMGC10.016_690_720.UNKNOWN	GMGC10.95nr_block_0002	dfrB3	trimethoprim-resistant dihydrofolate reductase DfrB3	ncbi	2021-Mar-27	NG_047747.1	abricate	abricate 1.0.1	100.0			1	237					+		100.0						TRIMETHOPRIM		
GMGC10.026_804_036.UNKNOWN	GMGC10.95nr_block_0002	dfrB5	trimethoprim-resistant dihydrofolate reductase DfrB5	ncbi	2021-Mar-27	NG_047758.1	abricate	abricate 1.0.1	100.0			1	237					+		100.0						TRIMETHOPRIM		
GMGC10.044_316_970.UNKNOWN	GMGC10.95nr_block_0002	dfrB3	trimethoprim-resistant dihydrofolate reductase DfrB3	ncbi	2021-Mar-27	NG_047747.1	abricate	abricate 1.0.1	85.78			15	232					+		91.98						TRIMETHOPRIM		
GMGC10.046_578_884.UNKNOWN	GMGC10.95nr_block_0002	dfrB4	trimethoprim-resistant dihydrofolate reductase DfrB4	ncbi	2021-Mar-27	NG_047749.1	abricate	abricate 1.0.1	100.0			1	237					+		100.0						TRIMETHOPRIM		
GMGC10.012_660_614.UNKNOWN	GMGC10.95nr_block_0005	blmA	bleomycin binding protein BLMA	ncbi	2021-Mar-27	NG_052580.1	abricate	abricate 1.0.1	100.0			1	357					+		96.75						BLEOMYCIN		
GMGC10.016_996_516.COPY	GMGC10.95nr_block_0006	mecI_of_mecC	mecC-type methicillin resistance repressor MecI	ncbi	2021-Mar-27	NG_050586.1	abricate	abricate 1.0.1	100.0			1	375					+		100.0						METHICILLIN		
GMGC10.023_274_135.FOSB	GMGC10.95nr_block_0006	fos_related	Fos family putative thiol transferase	ncbi	2021-Mar-27	NG_050598.1	abricate	abricate 1.0.1	98.72			1	390					+		100.0						FOSFOMYCIN		
