input_file_name	gene_symbol	gene_name	reference_database_name	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	genetic_variation_type	antimicrobial_agent	coverage_percentage	coverage_depth	coverage_ratio	drug_class	input_gene_length	input_gene_start	input_gene_stop	input_protein_length	input_protein_start	input_protein_stop	input_sequence_id	nucleotide_mutation	nucleotide_mutation_interpretation	predicted_phenotype	predicted_phenotype_confidence_level	amino_acid_mutation	amino_acid_mutation_interpretation	reference_gene_length	reference_gene_start	reference_gene_stop	reference_protein_length	reference_protein_start	reference_protein_stop	resistance_mechanism	strand_orientation	sequence_identity
groot.card.tsv	Mef(En2)	Mef(En2).3004659.AF251288	groot	v	Mef(En2).3004659.AF251288.1.794-2000.5539       135     1206    11D599M16D568M12D	groot	v	gene_presence_detected																											
groot.card.tsv	rrsB	rrsB.3003410.U00096	groot	v	rrsB.3003410.U00096.4166659-4168200.3242        95      1542    6D1521M15D	groot	v	gene_presence_detected																											
groot.card.tsv	rrsB	rrsB.3003396.U00096	groot	v	rrsB.3003396.U00096.4166659-4168200.3233        95      1542    6D1521M15D	groot	v	gene_presence_detected																											
groot.card.tsv	Escherichia_coli_16S	Escherichia_coli_16S.3003223.U00096	groot	v	Escherichia_coli_16S.3003223.U00096.4166659-4168200.3234        95      1542    6D1521M15D	groot	v	gene_presence_detected																											
groot.card.tsv	ErmB	ErmB.3000375.AF242872	groot	v	ErmB.3000375.AF242872.1.2131-2878.5430  194     747     11D423M6D304M3D	groot	v	gene_presence_detected																											
groot.card.tsv	rrnB	rrnB.3003411.U00096	groot	v	rrnB.3003411.U00096.4166659-4168200.3236        95      1542    6D1521M15D	groot	v	gene_presence_detected																											
groot.card.tsv	rrsB	rrsB.3003402.U00096	groot	v	rrsB.3003402.U00096.4166659-4168200.3235        95      1542    6D1521M15D	groot	v	gene_presence_detected																											
groot.card.tsv	rrnB	rrnB.3003406.U00096	groot	v	rrnB.3003406.U00096.4166659-4168200.3237        95      1542    6D1521M15D	groot	v	gene_presence_detected																											
groot.card.tsv	tet(40)	tet(40).3000567.AM419751	groot	v	tet(40).3000567.AM419751.14210-15431.5150       315     1221    156M7D1057M1D	groot	v	gene_presence_detected																											
groot.card.tsv	aadS	aadS.3004683.M72415	groot	v	aadS.3004683.M72415.1.1120-1984.5568    199     864     364M2D496M2D	groot	v	gene_presence_detected																											
groot.card.tsv	CfxA4	CfxA4.3003005.AY769933	groot	v	CfxA4.3003005.AY769933.0-966.1592       450     966     960M6D	groot	v	gene_presence_detected																											
groot.card.tsv	rrnB	rrnB.3003377.U00096	groot	v	rrnB.3003377.U00096.4166659-4168200.3239        95      1542    6D1521M15D	groot	v	gene_presence_detected																											
groot.card.tsv	OXA-347	OXA-347.3001777.JN086160	groot	v	OXA-347.3001777.JN086160.1582-2407.4583 191     825     11D812M1D1M	groot	v	gene_presence_detected																											
groot.card.tsv	rrsB	rrsB.3003376.U00096	groot	v	rrsB.3003376.U00096.4166659-4168200.3240        95      1542    6D1521M15D	groot	v	gene_presence_detected																											
groot.card.tsv	rrsB	rrsB.3003408.U00096	groot	v	rrsB.3003408.U00096.4166659-4168200.3241        95      1542    6D1521M15D	groot	v	gene_presence_detected																											
groot.card.tsv	tetQ	tetQ.3000191.Z21523	groot	v	tetQ.3000191.Z21523.0-1974.476  539     1974    1D1970M3D	groot	v	gene_presence_detected																											
groot.card.tsv	rrsB	rrsB.3003399.U00096	groot	v	rrsB.3003399.U00096.4166659-4168200.3232        95      1542    6D1521M15D	groot	v	gene_presence_detected																											
groot.card.tsv	tetW	tetW.3000194.AJ222769	groot	v	tetW.3000194.AJ222769.3.3686-5606.5145  203     1920    2D1900M18D	groot	v	gene_presence_detected																											
groot.card.tsv	CfxA5	CfxA5.3003096.AY769934	groot	v	CfxA5.3003096.AY769934.27-993.1669      449     966     775M1D184M6D	groot	v	gene_presence_detected																											
groot.card.tsv	CfxA3	CfxA3.3003003.AF472622	groot	v	CfxA3.3003003.AF472622.52-1018.1514     519     966     960M6D	groot	v	gene_presence_detected																											
groot.card.tsv	rrsB	rrsB.3003405.U00096	groot	v	rrsB.3003405.U00096.4166659-4168200.3231        95      1542    6D1521M15D	groot	v	gene_presence_detected																											
groot.card.tsv	rrsH	rrsH.3003372.U00096	groot	v	rrsH.3003372.U00096.223771-225312.3228  95      1542    6D1103M28D390M15D	groot	v	gene_presence_detected																											
groot.card.tsv	rrsB	rrsB.3003397.U00096	groot	v	rrsB.3003397.U00096.4166659-4168200.3230        95      1542    6D1521M15D	groot	v	gene_presence_detected																											
groot.card.tsv	ErmF	ErmF.3000498.M17124	groot	v	ErmF.3000498.M17124.1181-1982.593       321     801     598M10D189M4D	groot	v	gene_presence_detected																											
groot.card.tsv	rrsB	rrsB.3003403.U00096	groot	v	rrsB.3003403.U00096.4166659-4168200.3238        95      1542    6D1521M15D	groot	v	gene_presence_detected																											
groot.card.tsv	CfxA2	CfxA2.3003002.AF118110	groot	v	CfxA2.3003002.AF118110.1.71-1037.4470   450     966     960M6D	groot	v	gene_presence_detected																											
