# argNorm version: 1.1.0
input_file_name	gene_symbol	gene_name	reference_database_name	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	genetic_variation_type	antimicrobial_agent	coverage_percentage	coverage_depth	coverage_ratio	drug_class	input_gene_length	input_gene_start	input_gene_stop	input_protein_length	input_protein_start	input_protein_stop	input_sequence_id	nucleotide_mutation	nucleotide_mutation_interpretation	predicted_phenotype	predicted_phenotype_confidence_level	amino_acid_mutation	amino_acid_mutation_interpretation	reference_gene_length	reference_gene_start	reference_gene_stop	reference_protein_length	reference_protein_start	reference_protein_stop	resistance_mechanism	strand_orientation	sequence_identity	ARO	ARO_name	Cut_Off	confers_resistance_to	confers_resistance_to_names	resistance_to_drug_classes	resistance_to_drug_classes_names
GCF_010120755.1_ASM1012075v1_genomic	aacA-ENT1	aminoglycoside 6'-N-acetyltransferase	ncbi	db_v_1	NG_052371.1	abricate	tool_v_1	gene_presence_detected		100.0			AMINOGLYCOSIDE		2163439.0	2163987.0				NZ_CP039729.1														-	100.0	ARO:3002556	AAC(6')-Ii	Strict	ARO:0000007,ARO:0000013,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379	dibekacin,amikacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin	ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016	aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic
GCF_010120755.1_ASM1012075v1_genomic	aacA-ENT1	aminoglycoside 6'-N-acetyltransferase	ncbi	db_v_1	NG_052371.1	abricate	tool_v_1	gene_presence_detected		100.0			AMINOGLYCOSIDE		2163439.0	2163987.0				NZ_CP039729.1														-	100.0	ARO:3002556	AAC(6')-Ii	Strict	ARO:0000007,ARO:0000013,ARO:0000035,ARO:0000038,ARO:0000052,ARO:3007378,ARO:3007379	dibekacin,amikacin,sisomicin,netilmicin,tobramycin,2'-N-ethylnetilmicin,5-episisomicin	ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016,ARO:0000016	aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic,aminoglycoside antibiotic
GCF_010120755.1_ASM1012075v1_genomic	eat(A)	ABC-F type ribosomal protection protein Eat(A)	ncbi	db_v_1	NG_047762.1	abricate	tool_v_1	gene_presence_detected		100.0			PLEUROMUTILIN		656118.0	657620.0				NZ_CP039729.1														+	100.0							
GCF_010120755.1_ASM1012075v1_genomic	eat(A)	ABC-F type ribosomal protection protein Eat(A)	ncbi	db_v_1	NG_047762.1	abricate	tool_v_1	gene_presence_detected		100.0			PLEUROMUTILIN		656118.0	657620.0				NZ_CP039729.1														+	100.0							
GCF_010120755.1_ASM1012075v1_genomic	msr(C)	ABC-F type ribosomal protection protein Msr(C)	ncbi	db_v_1	NG_048003.1	abricate	tool_v_1	gene_presence_detected		100.0			MACROLIDE		2564038.0	2565516.0				NZ_CP039729.1														-	98.92	ARO:3002819	msrC	Loose	ARO:0000006,ARO:3000584	erythromycin,quinupristin	ARO:0000000,ARO:0000026	macrolide antibiotic,streptogramin antibiotic
GCF_010120755.1_ASM1012075v1_genomic	msr(C)	ABC-F type ribosomal protection protein Msr(C)	ncbi	db_v_1	NG_048003.1	abricate	tool_v_1	gene_presence_detected		100.0			MACROLIDE		2564038.0	2565516.0				NZ_CP039729.1														-	98.92	ARO:3002819	msrC	Loose	ARO:0000006,ARO:3000584	erythromycin,quinupristin	ARO:0000000,ARO:0000026	macrolide antibiotic,streptogramin antibiotic
GCF_010120755.1_ASM1012075v1_genomic	vanH-M	D-lactate dehydrogenase VanH-M	ncbi	db_v_1	NG_048388.1	abricate	tool_v_1	gene_presence_detected		100.0			VANCOMYCIN		45227.0	46207.0				NZ_CP039730.1														-	100.0	ARO:3002947	vanH gene in vanM cluster	Perfect	ARO:0000028,ARO:0000029	vancomycin,teicoplanin	ARO:3000081,ARO:3000081	glycopeptide antibiotic,glycopeptide antibiotic
GCF_010120755.1_ASM1012075v1_genomic	vanH-M	D-lactate dehydrogenase VanH-M	ncbi	db_v_1	NG_048388.1	abricate	tool_v_1	gene_presence_detected		100.0			VANCOMYCIN		45227.0	46207.0				NZ_CP039730.1														-	100.0	ARO:3002947	vanH gene in vanM cluster	Perfect	ARO:0000028,ARO:0000029	vancomycin,teicoplanin	ARO:3000081,ARO:3000081	glycopeptide antibiotic,glycopeptide antibiotic
GCF_010120755.1_ASM1012075v1_genomic	vanM	D-alanine--(R)-lactate ligase VanM	ncbi	db_v_1	NG_048396.1	abricate	tool_v_1	gene_presence_detected		100.0			VANCOMYCIN		44203.0	45234.0				NZ_CP039730.1														-	100.0	ARO:3002911	vanM	Perfect	ARO:0000028,ARO:0000029	vancomycin,teicoplanin	ARO:3000081,ARO:3000081	glycopeptide antibiotic,glycopeptide antibiotic
GCF_010120755.1_ASM1012075v1_genomic	vanM	D-alanine--(R)-lactate ligase VanM	ncbi	db_v_1	NG_048396.1	abricate	tool_v_1	gene_presence_detected		100.0			VANCOMYCIN		44203.0	45234.0				NZ_CP039730.1														-	100.0	ARO:3002911	vanM	Perfect	ARO:0000028,ARO:0000029	vancomycin,teicoplanin	ARO:3000081,ARO:3000081	glycopeptide antibiotic,glycopeptide antibiotic
