# argNorm version: 1.1.0
input_file_name	gene_symbol	gene_name	reference_database_name	reference_database_version	reference_accession	analysis_software_name	analysis_software_version	genetic_variation_type	antimicrobial_agent	coverage_percentage	coverage_depth	coverage_ratio	drug_class	input_gene_length	input_gene_start	input_gene_stop	input_protein_length	input_protein_start	input_protein_stop	input_sequence_id	nucleotide_mutation	nucleotide_mutation_interpretation	predicted_phenotype	predicted_phenotype_confidence_level	amino_acid_mutation	amino_acid_mutation_interpretation	reference_gene_length	reference_gene_start	reference_gene_stop	reference_protein_length	reference_protein_start	reference_protein_stop	resistance_mechanism	strand_orientation	sequence_identity	ARO	ARO_name	Cut_Off	confers_resistance_to	confers_resistance_to_names	resistance_to_drug_classes	resistance_to_drug_classes_names
groot.argannot.tsv	argannot~~~(Bla)cfiA9~~~AB087234:1-750	argannot~~~(Bla)cfiA9~~~AB087234:1-750	groot	v	argannot~~~(Bla)cfiA9~~~AB087234:1-750	groot	v	gene_presence_detected			79.0																750									ARO:3006921	CfiA9	Perfect	ARO:0000020	carbapenem	ARO:3000007	beta-lactam antibiotic
groot.argannot.tsv	argannot~~~(Tet)Tet-40~~~AM419751:14211-15431	argannot~~~(Tet)Tet-40~~~AM419751:14211-15431	groot	v	argannot~~~(Tet)Tet-40~~~AM419751:14211-15431	groot	v	gene_presence_detected			315.0																1221									ARO:3000567	tet(40)	Perfect	ARO:0000051	tetracycline	ARO:3000050	tetracycline antibiotic
groot.argannot.tsv	argannot~~~(MLS)ErmF~~~M14730:241-1041	argannot~~~(MLS)ErmF~~~M14730:241-1041	groot	v	argannot~~~(MLS)ErmF~~~M14730:241-1041	groot	v	gene_presence_detected			321.0																801									ARO:3000498	ErmF	Perfect	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026	macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic
groot.argannot.tsv	argannot~~~(AGly)Aph7~~~GG774704:686456-687373	argannot~~~(AGly)Aph7~~~GG774704:686456-687373	groot	v	argannot~~~(AGly)Aph7~~~GG774704:686456-687373	groot	v	gene_presence_detected			254.0																918									ARO:3002655	APH(4)-Ia	Loose	ARO:3000214	hygromycin B	ARO:0000016	aminoglycoside antibiotic
groot.argannot.tsv	argannot~~~(Bla)cfxA2~~~AF504910:1-966	argannot~~~(Bla)cfxA2~~~AF504910:1-966	groot	v	argannot~~~(Bla)cfxA2~~~AF504910:1-966	groot	v	gene_presence_detected			338.0																966									ARO:3003002	CfxA2	Strict	ARO:3009106	second-generation cephalosporin	ARO:3000007	beta-lactam antibiotic
groot.argannot.tsv	argannot~~~(MLS)ErmB~~~M11180:714-1451	argannot~~~(MLS)ErmB~~~M11180:714-1451	groot	v	argannot~~~(MLS)ErmB~~~M11180:714-1451	groot	v	gene_presence_detected			178.0																738									ARO:3000375	ErmB	Strict	ARO:0000006,ARO:0000027,ARO:0000046,ARO:0000057,ARO:0000065,ARO:0000066,ARO:3000145,ARO:3000156,ARO:3000158,ARO:3000176,ARO:3000583,ARO:3000584,ARO:3000669,ARO:3000672,ARO:3000673,ARO:3000674,ARO:3000675,ARO:3000677,ARO:3000678,ARO:3000679,ARO:3000680,ARO:3000681,ARO:3000682,ARO:3000867	erythromycin,roxithromycin,lincomycin,telithromycin,clarithromycin,clindamycin,tylosin,spiramycin,azithromycin,dirithromycin,pristinamycin IA,quinupristin,virginiamycin M1,madumycin II,griseoviridin,dalfopristin,pristinamycin IB,virginiamycin S2,pristinamycin IC,vernamycin C,patricin A,patricin B,ostreogrycin B3,oleandomycin	ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000000,ARO:0000017,ARO:0000017,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026,ARO:0000026	macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,macrolide antibiotic,lincosamide antibiotic,lincosamide antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic,streptogramin antibiotic
groot.argannot.tsv	argannot~~~(Tet)TetQ~~~Z21523:362-2287	argannot~~~(Tet)TetQ~~~Z21523:362-2287	groot	v	argannot~~~(Tet)TetQ~~~Z21523:362-2287	groot	v	gene_presence_detected			539.0																1974									ARO:3000191	tet(Q)	Strict	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050	tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic
groot.argannot.tsv	argannot~~~(Bla)cfxA5~~~AY769934:28-993	argannot~~~(Bla)cfxA5~~~AY769934:28-993	groot	v	argannot~~~(Bla)cfxA5~~~AY769934:28-993	groot	v	gene_presence_detected			449.0																966									ARO:3003096	CfxA5	Perfect	ARO:3009106	second-generation cephalosporin	ARO:3000007	beta-lactam antibiotic
groot.argannot.tsv	argannot~~~(Bla)OXA-347~~~JN086160:1583-2407	argannot~~~(Bla)OXA-347~~~JN086160:1583-2407	groot	v	argannot~~~(Bla)OXA-347~~~JN086160:1583-2407	groot	v	gene_presence_detected			191.0																825									ARO:3001777	OXA-347	Perfect	ARO:0000056	oxacillin	ARO:3000007	beta-lactam antibiotic
groot.argannot.tsv	argannot~~~(Tet)TetW~~~AJ222769:3687-5606	argannot~~~(Tet)TetW~~~AJ222769:3687-5606	groot	v	argannot~~~(Tet)TetW~~~AJ222769:3687-5606	groot	v	gene_presence_detected			203.0																1920									ARO:3000194	tet(W)	Perfect	ARO:0000051,ARO:0000069,ARO:3000152,ARO:3000528,ARO:3000667,ARO:3000668	tetracycline,doxycycline,minocycline,chlortetracycline,demeclocycline,oxytetracycline	ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050,ARO:3000050	tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic,tetracycline antibiotic
