	Unnamed: 0	Original ID	Gene Name in CARD	ARO	Database
0	0	MEG_6025|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS	QnrS5	3002794.0	megares
1	1	MEG_337|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	AAC(6')-Ia	3002545.0	megares
2	2	MEG_6814|Drugs|betalactams|Class_A_betalactamases|TEM	TEM-188	3001048.0	megares
3	3	MEG_346|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	AAC(6')-Ib9	3002580.0	megares
4	4	MEG_864|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	aadA3	3002603.0	megares
5	5	MEG_4413|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-645	3005865.0	megares
6	6	MEG_5593|Drugs|betalactams|Class_C_betalactamases|PDC	PDC-135	3006512.0	megares
7	7	MEG_1991|Drugs|betalactams|Class_C_betalactamases|CMY	CMY-1	3002012.0	megares
8	8	MEG_3864|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD	golS	3000504.0	megares
9	9	MEG_7274|Biocides|Phenolic_compound_resistance|Phenolic_RND_efflux_pump|TRIBP	PNGM-1	3004571.0	megares
10	10	MEG_2161|Drugs|betalactams|Class_A_betalactamases|CTX	CTX-M-180	3005603.0	megares
11	11	MEG_4109|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|NALC|RequiresSNPConfirmation	NALC	NALC	megares
12	12	MEG_173|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	AAC(6')-Iid	3002589.0	megares
13	13	MEG_3334|Drugs|betalactams|Class_B_betalactamases|IMP	IMP-80	3005485.0	megares
14	14	MEG_827|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	aadA5	3002605.0	megares
