0	blaCTX-M-16_1_AY029068	CTX-M-16	3001879	resfinder
1	blaCTX-M-24_1_EF374096	CTX-M-24	3001886	resfinder
2	blaTEM-128_1_AY368237	TEM-128	3000990	resfinder
3	blaOXA-366_1_KP050485	OXA-366	3001553	resfinder
4	blaTEM-113_1_AY589494	TEM-113	3000976	resfinder
5	blaTEM-122_1_AY307100	TEM-122	3000984	resfinder
6	blaTEM-53_1_AF104441	TEM-53	3000922	resfinder
7	aadE-Cc_1_CP013733			resfinder
8	car(A)_1_M80346	carA	3002817	resfinder
9	aac(6')-29b_1_AF263519			resfinder
10	blaOXA-64_1_AY750907	OXA-64	3001613	resfinder
11	blaZ_35_JIVZ01000012	PC1 beta-lactamase (blaZ)	3000621	resfinder
12	blaTEM-87_1_AF250872	TEM-87	3000954	resfinder
13	blaCTX-M-14b_1_DQ359215	CTX-M-14	3001877	resfinder
14	blaNDM-17_1_KX812714	NDM-17	3004093	resfinder
15	aac(3)-VIIIa_1_M55426	AAC(3)-VIIIa	3002542	resfinder
16	dfrA14_1_KF921535	dfrA14	3002859	resfinder
17	blaOXA-89_1_DQ445683	OXA-89	3001625	resfinder
18	blaIMP-8_1_DQ845788	IMP-8	3002199	resfinder
19	ampS_1_X80276	OXA-12	3001407	resfinder
20	blaSHV-161_1_JX121128	SHV-161	3001200	resfinder
21	blaNDM-9_1_KC999080	NDM-9	3002359	resfinder
22	blaTEM-183_1_HQ529916	TEM-183	3001045	resfinder
23	tet(W/32/O)_1_AM710601	tet(W/N/W)	3004442	resfinder
24	sul1_32_EF592571	sul1	3000410	resfinder
25	blaCTX-M-48_1_AY847144	CTX-M-48	3001910	resfinder
26	blaSHV-86_1_DQ328802	SHV-86	3001140	resfinder
27	aph(3')-IIb_1_X90856	APH(3')-IIb	3002645	resfinder
28	blaSGM-6_1_NG049988			resfinder
29	blaCMY-95_1_JX514369	CMY-95	3002108	resfinder
30	blaSHV-165_1_JX121131	SHV-165	3001203	resfinder
31	blaOXA-284_1_APRU01000004	OXA-284	3001739	resfinder
32	blaCMY-96_1_KC007362	CMY-64	3002077	resfinder
33	tet(W/32/O)_3_AM710603	tet(W/N/W)	3004442	resfinder
34	blaOXA-282_1_APQS01000019	OXA-282	3001737	resfinder
35	blaSHV-25_1_AF208796	SHV-25	3001083	resfinder
36	tet(51)_1_KR857685	tet(51)	3004586	resfinder
37	blaOXA-183_1_HQ111474	OXA-183	3001475	resfinder
38	blaOXA-88_1_DQ392963	OXA-88	3001626	resfinder
39	sul2_14_AJ514834	sul2	3000412	resfinder
40	blaTEM-70_1_AF188199	TEM-70	3000936	resfinder
41	blaSHV-78_1_AM176553	SHV-78	3001132	resfinder
42	blaTEM-29_1_DQ269440	TEM-29	3000899	resfinder
43	qnrB15_1_EU302865			resfinder
44	ant(3'')-Ii-aac(6')-IId_1_AF453998	ANT(3'')-Ii-AAC(6')-IId fusion protein	3002598	resfinder
45	dfrA3_1_J03306	dfrA3	3003105	resfinder
46	cat(pC194)_1_NC_002013	Lactobacillus reuteri cat-TC	3002671	resfinder
47	blaB-3_1_AF189301	Chryseobacterium meningosepticum BlaB	3000579	resfinder
48	qnrS6_1_HQ631376	QnrS6	3002795	resfinder
49	qnrVC3_1_HM015626	QnrVC3	3002800	resfinder
50	blaOXA-20_2_AF024602	OXA-20	3001415	resfinder
51	dfrA19_1_EU855687	dfrA19	3003015	resfinder
52	blaZ_79_KU607584	PC1 beta-lactamase (blaZ)	3000621	resfinder
53	lnu(A)_1_M14039	lnuA	3002835	resfinder
54	VanC2XY_3_EU151757	vanXYC	3002966	resfinder
55	cepA_6_FR688022	cepA	3003559	resfinder
56	tet(O/32/O)_1_JQ740052	tet(W/N/W)	3004442	resfinder
