# argNorm version: 1.0.0
Protein id	Contig id	Start	Stop	Strand	Element symbol	Element name	Scope	Type	Subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference	% Identity to reference	Alignment length	Closest reference accession	Closest reference name	HMM accession	HMM description	Hierarchy node	ARO	ARO_name	Cut_Off	confers_resistance_to	confers_resistance_to_names	resistance_to_drug_classes	resistance_to_drug_classes_names
	contig01	1	984	+	blaTEMp_G162T	Escherichia amoxicillin-clavulanic acid/piperacillin-tazobactam/ticarcillin-clavulanic acid resistant blaTEM	core	AMR	POINT	BETA-LACTAM	AMOXICILLIN-CLAVULANIC_ACID/PIPERACILLIN-TAZOBACTAM/TICARCILLIN-CLAVULANIC_ACID	POINTN	984	1176.0	83.67	99.8	984	NZ_CP095603.1:148777-149952	blaTEM promoter region										
blaTEM-156	contig01	101	961	+	blaTEM-156	class A beta-lactamase TEM-156	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	ALLELEP	286	286.0	100.0	100.0	286	WP_061158039.1	class A beta-lactamase TEM-156	NF000531.2	TEM family class A beta-lactamase	blaTEM-156	ARO:3001022	TEM-156	Perfect	ARO:0000004,ARO:0000032,ARO:0000060,ARO:3000008,ARO:3000637	monobactam,cephalosporin,ceftazidime,penicillin beta-lactam,ampicillin	ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007	beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic
blaPDC-114_blast	contig02	1	1191	+	blaPDC	PDC family class C beta-lactamase	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	BLASTP	397	397.0	100.0	99.75	397	WP_061189306.1	class C beta-lactamase PDC-114	NF000422.6	PDC family class C beta-lactamase	blaPDC	ARO:3006492	PDC-114	Perfect	ARO:0000004,ARO:0000020,ARO:0000032	monobactam,carbapenem,cephalosporin	ARO:3000007,ARO:3000007,ARO:3000007	beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic
blaOXA-436_partial	contig03	101	802	+	blaOXA	OXA-48 family class D beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIALP	233	265.0	87.92	100.0	233	WP_058842180.1	OXA-48 family carbapenem-hydrolyzing class D beta-lactamase OXA-436	NF012161.0	class D beta-lactamase	blaOXA-48_fam	ARO:3003128	OXA-436	Perfect	ARO:0000020,ARO:0000056,ARO:3000008	carbapenem,oxacillin,penicillin beta-lactam	ARO:3000007,ARO:3000007,ARO:3000007	beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic
vanG	contig04	101	1147	+	vanG	D-alanine--D-serine ligase VanG	core	AMR	AMR	GLYCOPEPTIDE	VANCOMYCIN	EXACTP	349	349.0	100.0	100.0	349	WP_063856695.1	D-alanine--D-serine ligase VanG	NF000091.3	D-alanine--D-serine ligase VanG	vanG	ARO:3002909	vanG	Strict	ARO:0000028	vancomycin	ARO:3000081	glycopeptide antibiotic
	contig04	1261	2391	+	blaEC	BlaEC family class C beta-lactamase	plus	AMR	AMR	BETA-LACTAM	BETA-LACTAM	BLASTX	377	377.0	100.0	98.14	377	WP_063610930.1	extended-spectrum class C beta-lactamase EC-15			blaEC	ARO:3006876	EC-15	Perfect	ARO:0000032	cephalosporin	ARO:3000007	beta-lactam antibiotic
	contig08	1	700	+	blaTEMp_G162T	Escherichia amoxicillin-clavulanic acid/piperacillin-tazobactam/ticarcillin-clavulanic acid resistant blaTEM	core	AMR	POINT	BETA-LACTAM	AMOXICILLIN-CLAVULANIC_ACID/PIPERACILLIN-TAZOBACTAM/TICARCILLIN-CLAVULANIC_ACID	POINTN	700	1176.0	59.52	99.71	700	NZ_CP095603.1:148777-149952	blaTEM promoter region										
	contig08	101	700	+	blaTEM	TEM family class A beta-lactamase	core	AMR	AMR	BETA-LACTAM	BETA-LACTAM	PARTIAL_CONTIG_ENDX	200	286.0	69.93	100.0	200	WP_061158039.1	class A beta-lactamase TEM-156			blaTEM	ARO:3001022	TEM-156	Perfect	ARO:0000004,ARO:0000032,ARO:0000060,ARO:3000008,ARO:3000637	monobactam,cephalosporin,ceftazidime,penicillin beta-lactam,ampicillin	ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007,ARO:3000007	beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic,beta-lactam antibiotic
aph3pp-Ib_partial_5p_neg	contig09	1	675	-	aph(3'')-Ib	aminoglycoside O-phosphotransferase APH(3'')-Ib	core	AMR	AMR	AMINOGLYCOSIDE	STREPTOMYCIN	PARTIAL_CONTIG_ENDP	225	267.0	81.27	100.0	217	WP_001082319.1	aminoglycoside O-phosphotransferase APH(3'')-Ib	NF032896.1	APH(3'') family aminoglycoside O-phosphotransferase	aph(3'')-Ib	ARO:3002639	APH(3'')-Ib	Strict	ARO:0000040	streptomycin	ARO:0000016	aminoglycoside antibiotic
sul2_partial_3p_neg	contig09	715	1377	-	sul2	sulfonamide-resistant dihydropteroate synthase Sul2	core	AMR	AMR	SULFONAMIDE	SULFONAMIDE	PARTIAL_CONTIG_ENDP	221	271.0	81.55	100.0	221	WP_001043265.1	sulfonamide-resistant dihydropteroate synthase Sul2			sul2	ARO:3000412	sul2	Strict	ARO:3000324,ARO:3000325,ARO:3000327,ARO:3000329,ARO:3000330,ARO:3000683,ARO:3000684,ARO:3000698,ARO:3000699	sulfadiazine,sulfadimidine,sulfadoxine,sulfamethoxazole,sulfisoxazole,sulfacetamide,mafenide,sulfasalazine,sulfamethizole	ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282,ARO:3000282	sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic,sulfonamide antibiotic
