#ARG	query-start	query-end	read_id	predicted_ARG-class	best-hit	probability	identity	alignment-length	alignment-bitscore	alignment-evalue	counts	ARO	confers_resistance_to	resistance_to_drug_classes
VANU	1	67	ExDog1_167862	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9927080391067162	50.7	67	77.4	2.9400000000000003e-21	1	ARO:3004253		
VANU	1	67	ExDog1_325079	glycopeptide	DQ212986.1.gene3.p01|FEATURES|vanU|glycopeptide|vanU	0.9868508225400342	52.2	67	69.3	4.28e-18	1	ARO:3004253		
BCRA	2	309	ExDog1_175936	bacitracin	gi:445996709:ref:WP_000074564.1:|FEATURES|bcrA|bacitracin|bcrA	0.9998620397306134	52.6	308	323.0	9.81e-111	1	ARO:3002987	ARO:3000629,ARO:3000630,ARO:3000631	ARO:3000707,ARO:3000707,ARO:3000707
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	285	ExDog1_330013	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.9989690067157496	56.9	288	360.0	3.38e-126	1	ARO:3003982	ARO:0000066	ARO:0000017
LLMA_23S_RIBOSOMAL_RNA_METHYLTRANSFERASE	1	287	ExDog1_154345	MLS	APB03216.1|FEATURES|LlmA_23S_ribosomal_RNA_methyltransferase|MLS|LlmA_23S_ribosomal_RNA_methyltransferase	0.998753284843244	55.1	287	352.0	2.33e-123	1	ARO:3003982	ARO:0000066	ARO:0000017
EFRA	2	469	ExDog1_302140	multidrug	CDO61513.1|FEATURES|efrA|multidrug|efrA	0.8911468465327786	55.1	468	474.0	3.33e-164	1	ARO:3003948		
OPRM	10	465	ExDog1_387924	multidrug	NC_008702.1.4606278.p01|FEATURES|oprM|multidrug|oprM	0.8720877738541158	50.7	456	416.0	8.82e-143	1	ARO:3000379		
PORIN_OMPC	1	322	ExDog1_292626	beta-lactam	APB87301|FEATURES|porin_OmpC|beta-lactam|porin_OmpC	0.9031247029781052	98.4	322	643.0	2.52e-236	1	ARO:3004122	ARO:0000008,ARO:3000645	ARO:3000007,ARO:3000007
TET(40)	1	406	ExDog1_244738	tetracycline	AFK31666.1|FEATURES|tet(40)|tetracycline|tet(40)	0.9994233597032094	100.0	406	756.0	5.2499999999999996e-279	1	ARO:3000567	ARO:0000051	ARO:3000050
VANRI	4	232	ExDog1_267046	glycopeptide	WP_011461303.1|FEATURES|vanRI|glycopeptide|vanRI	0.9999856445399328	59.8	229	291.0	3.55e-101	1	ARO:3003728		
BACA	54	273	ExDog1_137798	bacitracin	A8A4L2|FEATURES|bacA|bacitracin|bacA	0.997994191741787	100.0	220	427.0	2.92e-154	1	ARO:3002986	ARO:3000629,ARO:3000630,ARO:3000631	ARO:3000707,ARO:3000707,ARO:3000707
VANR	5	235	ExDog1_308781	glycopeptide	DQ212986.1.gene4.p01|FEATURES|vanR|glycopeptide|vanR	0.9999690616561792	55.8	231	263.0	1.3799999999999999e-89	1	ARO:3002926		
