	Original ID	Gene Name in CARD	ARO	Database
0	gi:447059779:ref:WP_001137035.1:|FEATURES|mdtM|multidrug|mdtM	mdtM	3001214	deeparg
1	gi:896558217:ref:WP_049457130.1:|FEATURES|metallo-beta-lactamase|beta-lactam|metallo-beta-lactamase	L1 beta-lactamase	3000582	deeparg
2	gi:486214544:ref:WP_001556297.1:|FEATURES|mdtE|multidrug|mdtE	mdtE	3000795	deeparg
3	gi:446110318:ref:WP_000188173.1:|FEATURES|macB|MLS|macB	macB	3000535	deeparg
4	gi:950497593:ref:WP_057388025.1:|FEATURES|class_C|beta-lactam|class_C	PDC-197	3006576	deeparg
5	gi:836586206:ref:WP_047743480.1:|FEATURES|fosA|fosfomycin|fosA	FosA2	3002804	deeparg
6	ACI02010|FEATURES|tet40|tetracycline|tet40	tet(40)	3000567	deeparg
7	AGI04227.1|FEATURES|APH(3')-VI|aminoglycoside|APH(3')-VI	APH(3')-VI	3003687	deeparg
8	gi:696496430:ref:WP_033034676.1:|FEATURES|class_A|beta-lactam|class_A	EXO-1	3003564	deeparg
9	gi:489252358:ref:WP_003160388.1:|FEATURES|mexF|multidrug|mexF	MexF	3000804	deeparg
10	gi:745771838:ref:WP_039067374.1:|FEATURES|class_C|beta-lactam|class_C	Escherichia coli ampC beta-lactamase	3004290	deeparg
11	gi:765470059:ref:WP_044719974.1:|FEATURES|sul1|sulfonamide|sul1	sul1	3000410	deeparg
12	gi:686149086:ref:WP_031783216.1:|FEATURES|mecR1|beta-lactam|mecR1	mecR1	3000215	deeparg
13	gi:754672984:ref:WP_042053629.1:|FEATURES|tetR|tetracycline|tetR	MexL	3003710	deeparg
14	P49857|FEATURES|ykkD|multidrug|ykkD	ykkD	3003064	deeparg
15	X55353.1.gene1.p01|FEATURES|aac(6')-I|aminoglycoside|aac(6')-I	AAC(6')-If	3002553	deeparg
16	gi:585356039:ref:WP_024237642.1:|FEATURES|mexX|multidrug|mexX	AcrE	3000499	deeparg
17	gi:1033149378:ref:WP_064455171.1:|FEATURES|class_C|beta-lactam|class_C	EC-5	3006880	deeparg
18	FJ237367.1.gene1.p1|FEATURES|MIR-8|beta-lactam|MIR	MIR-5	3002170	deeparg
19	gi:723055729:ref:WP_033551253.1:|FEATURES|TolC|multidrug|TolC	TolC	3000237	deeparg
20	gi:647261449:ref:WP_025709594.1:|FEATURES|class_A|beta-lactam|class_A	BcI	3002877	deeparg
21	gi:515957791:ref:WP_017388374.1:|FEATURES|macA|MLS|macA	macA	3000533	deeparg
22	AM941159.1.gene1.p01|FEATURES|TEM-156|beta-lactam|TEM	TEM-156	3001022	deeparg
23	YP_002467958|FEATURES|PBP-1B|beta-lactam|PBP-1B			deeparg
24	gi:983459915:ref:WP_060619314.1:|FEATURES|emrB|multidrug|emrB	Klebsiella pneumoniae KpnH	3004597	deeparg
25	gi:657062189:ref:WP_029304661.1:|FEATURES|metallo-beta-lactamase|beta-lactam|metallo-beta-lactamase	imiH	3003094	deeparg
26	gi:493540358:ref:WP_006494234.1:|FEATURES|opcM|multidrug|opcM	opcM	3003037	deeparg
27	gi:32345902:gb:AAM97245.1:|FEATURES|penA|beta-lactam|penA			deeparg
28	gi:486285962:ref:WP_001572033.1:|FEATURES|mepA|multidrug|mepA	mepA	3000026	deeparg
29	gi:556490519:ref:WP_023338245.1:|FEATURES|mdtH|multidrug|mdtH	mdtH	3001216	deeparg
30	gi:578204972:gb:EUL65205.1:|FEATURES|mdtK|multidrug|mdtK	hmrM	3003953	deeparg
31	gi:446110285:ref:WP_000188140.1:|FEATURES|macB|MLS|macB	macB	3000535	deeparg
32	DQ519089.1.gene1.p01|FEATURES|OXA-95|beta-lactam|OXA	OXA-95	3001630	deeparg
33	gi:1035706844:ref:WP_064548272.1:|FEATURES|macB|MLS|macB	macB	3000535	deeparg
34	gi:487662022:ref:WP_001751950.1:|FEATURES|class_C|beta-lactam|class_C	Escherichia coli ampC beta-lactamase	3004290	deeparg
35	JN967644.1.gene1.p01|FEATURES|NDM-6|beta-lactam|NDM	NDM-6	3002356	deeparg
36	NP_671620|FEATURES|rifampin_resistance_protein|rifamycin|rifampin_resistance_protein	TEM-139	3001003	deeparg
37	gi:1046455493:emb:SBW26801.1:|FEATURES|macA|MLS|macA	macA	3000533	deeparg
38	gi:333002624:gb:EGK22184.1:|FEATURES|arnA|polymyxin|arnA	arnA	3002985	deeparg
39	CAL12097|FEATURES|class_A|beta-lactam|class_A	y56 beta-lactamase	3003558	deeparg
40	gi:1031795879:ref:WP_064136102.1:|FEATURES|marR|multidrug|marR	mgrA	3000815	deeparg
41	gi:1031794099:ref:WP_064134851.1:|FEATURES|norA|multidrug|norA	Staphylococcus aureus norA	3004667	deeparg
42	gi:486434032:ref:WP_001617232.1:|FEATURES|emrA|multidrug|emrA	emrA	3000027	deeparg
43	gi:857778813:emb:CRL60249.1:|FEATURES|mdtC|multidrug|mdtC	mdtC	3000794	deeparg
44	YP_001465585|FEATURES|mdtO|multidrug|mdtO	mdtO	3003549	deeparg
45	CP001138.1.gene4042.p01|FEATURES|mdtL|multidrug|mdtL	bcr-1	3003801	deeparg
46	gi:514888562:ref:WP_016618095.1:|FEATURES|lsa|MLS|lsa	lsaA	3000300	deeparg
47	ZP_03949543|FEATURES|lsa|MLS|lsa	lsaA	3000300	deeparg
48	ZP_02698483|FEATURES|mdtM|multidrug|mdtM	mdtM	3001214	deeparg
49	AEG74318.1|FEATURES|QnrS6|fluoroquinolone|QnrS6	QnrS6	3002795	deeparg
50	gi:893247350:emb:CNT84750.1:|FEATURES|mdtH|multidrug|mdtH	mdtH	3001216	deeparg
51	gi:815662950:ref:WP_046401894.1:|FEATURES|TolC|multidrug|TolC	TolC	3000237	deeparg
52	gi:507046611:ref:WP_016117648.1:|FEATURES|fosB|fosfomycin|fosB	FosB	3000172	deeparg
53	KF297578.1.gene1.p01|FEATURES|OXA-349|beta-lactam|OXA	OXA-349	3001536	deeparg
54	gi:1031666764:gb:ANG29235.1:|FEATURES|TEM-1|beta-lactam|TEM	TEM-1	3000873	deeparg
55	gi:921164489:ref:WP_053110392.1:|FEATURES|tetC|tetracycline|tetC			deeparg
56	gi:1031654327:gb:ANG23677.1:|FEATURES|TEM-1|beta-lactam|TEM	TEM-1	3000873	deeparg
57	gi:852260313:ref:WP_048324983.1:|FEATURES|class_C|beta-lactam|class_C	SRT-3	3006853	deeparg
58	gi:585343861:ref:WP_024225484.1:|FEATURES|mdtP|multidrug|mdtP	mdtP	3003550	deeparg
59	gi:490295528:ref:WP_004190992.1:|FEATURES|mdtH|multidrug|mdtH	mdtH	3001216	deeparg
60	AJ295343.1.gene1.p01|FEATURES|OCH-5|beta-lactam|OCH	OCH-5	3002518	deeparg
61	gi:835761911:ref:WP_047653662.1:|FEATURES|mdtH|multidrug|mdtH	mdtH	3001216	deeparg
62	gi:717495739:gb:AIW80319.1:|FEATURES|class_C|beta-lactam|class_C	EC-14	3006875	deeparg
63	gi:851913025:ref:WP_048215946.1:|FEATURES|macB|MLS|macB	macB	3000535	deeparg
64	gi:445997190:ref:WP_000075045.1:|FEATURES|mdtG|multidrug|mdtG	mdtG	3001329	deeparg
65	gi:446164906:ref:WP_000242761.1:|FEATURES|cAMP-regulatory_protein|unclassified|cAMP-regulatory_protein	CRP	3000518	deeparg
66	gi:691142723:ref:WP_032055937.1:|FEATURES|marR|multidrug|marR	emrR	3000516	deeparg
67	gi:556469366:ref:WP_023321121.1:|FEATURES|mdtK|multidrug|mdtK	hmrM	3003953	deeparg
68	gi:1015927937:ref:WP_062886781.1:|FEATURES|macB|MLS|macB	macB	3000535	deeparg
69	gi:485701784:ref:WP_001334918.1:|FEATURES|emrB|multidrug|emrB	emrB	3000074	deeparg
70	ABQ10556|FEATURES|PER-1|beta-lactam|PER	PER-1	3002363	deeparg
71	gi:498521217:ref:WP_010821069.1:|FEATURES|lsa|MLS|lsa	lsaA	3000300	deeparg
72	gi:486311240:ref:WP_001578558.1:|FEATURES|mdtN|multidrug|mdtN	mdtN	3003548	deeparg
73	gi:485782217:ref:WP_001404934.1:|FEATURES|macA|MLS|macA	macA	3000533	deeparg
74	gi:694065628:ref:WP_032412110.1:|FEATURES|emrB|multidrug|emrB	Klebsiella pneumoniae KpnH	3004597	deeparg
75	gi:1043336173:ref:WP_065365931.1:|FEATURES|class_C|beta-lactam|class_C	ACT-77	3006271	deeparg
76	CP000647.1.gene4115.p01|FEATURES|emrD|multidrug|emrD	bcr-1	3003801	deeparg
