	Original ID	Gene Name in CARD	ARO	Database
0	gi:782714339:ref:WP_045616254.1:|FEATURES|macA|MLS|macA	macA	3000533	deeparg
1	gi:738272573:ref:WP_036227195.1:|FEATURES|lsa|MLS|lsa	lsaB	3003111	deeparg
2	NC_010558.1.6276004.p01|FEATURES|catA|phenicol|catA	catI	3002683	deeparg
3	gi:857775740:emb:CRL64671.1:|FEATURES|mdtK|multidrug|mdtK	hmrM	3003953	deeparg
4	gi:896016302:ref:WP_049079560.1:|FEATURES|macA|MLS|macA	macA	3000533	deeparg
5	AAD41881|FEATURES|vanD|glycopeptide|vanD	vanH gene in vanD cluster	3002944	deeparg
6	gi:446783030:ref:WP_000860286.1:|FEATURES|arnA|polymyxin|arnA	arnA	3002985	deeparg
7	gi:746541139:ref:WP_039573465.1:|FEATURES|mexC|multidrug|mexC	adeA	3000774	deeparg
8	gi:812045371:emb:CRH28493.1:|FEATURES|acrB|multidrug|acrB	acrB	3000216	deeparg
9	gi:488426786:ref:WP_002496171.1:|FEATURES|norA|multidrug|norA	norA	3000391	deeparg
10	gi:895895864:ref:WP_048997630.1:|FEATURES|macB|MLS|macB	macB	3000535	deeparg
11	AAK08976|FEATURES|class_A|beta-lactam|class_A	KLUC-1	3006927	deeparg
12	gi:315940009:gb:ADU56215.1:|FEATURES|CTX-M-14|beta-lactam|CTX-M	CTX-M-14	3001877	deeparg
13	ZP_04115750|FEATURES|class_A|beta-lactam|class_A	BcII	3002878	deeparg
14	M11587.1.gene1.p1|FEATURES|catA|phenicol|catA	catA4	3004657	deeparg
15	gi:746192777:ref:WP_039250898.1:|FEATURES|mexE|multidrug|mexE	adeG	3000778	deeparg
16	AY355285.1.gene3.p01|FEATURES|cat_chloramphenicol_acetyltransferase|phenicol|cat_chloramphenicol_acetyltransferase	Enterococcus faecium chloramphenicol acetyltransferase	3004456	deeparg
17	YP_001476958|FEATURES|kasugamycin_resistance_protein_ksgA|aminoglycoside|kasugamycin_resistance_protein_ksgA	ErmC	3000250	deeparg
18	gi:968563772:ref:WP_058587854.1:|FEATURES|macB|MLS|macB	macB	3000535	deeparg
19	gi:851962897:ref:WP_048233629.1:|FEATURES|class_C|beta-lactam|class_C	SRT-2	3002494	deeparg
20	gi:685983188:ref:WP_031690361.1:|FEATURES|mexH|multidrug|mexH	MexH	3000807	deeparg
21	gi:974628503:ref:WP_059215907.1:|FEATURES|emrB|multidrug|emrB	emrB	3000074	deeparg
22	KF057030.1.gene1.p01|FEATURES|OXA-313|beta-lactam|OXA	OXA-313	3001684	deeparg
23	AF162694.1.gene6.p01|FEATURES|vanS|glycopeptide|vanS	vanS gene in vanC cluster	3002933	deeparg
24	gi:504199703:ref:WP_014386805.1:|FEATURES|sul2|sulfonamide|sul2	sul2	3000412	deeparg
25	gi:447132838:ref:WP_001210094.1:|FEATURES|mdtC|multidrug|mdtC	mdtC	3000794	deeparg
26	FJ237367.1.gene1.p1|FEATURES|MIR-8|beta-lactam|MIR	MIR-5	3002170	deeparg
27	gi:545258379:ref:WP_021553405.1:|FEATURES|acrB|multidrug|acrB	acrB	3000216	deeparg
28	NC_002695.1.912965.p01|FEATURES|sdiA|unclassified|sdiA	sdiA	3000826	deeparg
