	Original ID	Gene Name in CARD	ARO	Database
0	MEG_6025|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRS	QnrS5	3002794	megares
1	MEG_337|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	AAC(6')-Ia	3002545	megares
2	MEG_6814|Drugs|betalactams|Class_A_betalactamases|TEM	TEM-188	3001048	megares
3	MEG_346|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	AAC(6')-Ib9	3002580	megares
4	MEG_864|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	aadA3	3002603	megares
5	MEG_4413|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-645	3005865	megares
6	MEG_5593|Drugs|betalactams|Class_C_betalactamases|PDC	PDC-135	3006512	megares
7	MEG_1991|Drugs|betalactams|Class_C_betalactamases|CMY	CMY-1	3002012	megares
8	MEG_3864|Metals|Mercury_resistance|Mercury_resistance_regulator|MERD	golS	3000504	megares
9	MEG_7274|Biocides|Phenolic_compound_resistance|Phenolic_RND_efflux_pump|TRIBP	PNGM-1	3004571	megares
10	MEG_2161|Drugs|betalactams|Class_A_betalactamases|CTX	CTX-M-180	3005603	megares
11	MEG_4109|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|NALC|RequiresSNPConfirmation			megares
12	MEG_173|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	AAC(6')-Iid	3002589	megares
13	MEG_3334|Drugs|betalactams|Class_B_betalactamases|IMP	IMP-80	3005485	megares
14	MEG_827|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	aadA5	3002605	megares
15	MEG_3296|Drugs|Mupirocin|Mupirocin-resistant_isoleucyl-tRNA_synthetase|ILES|RequiresSNPConfirmation	Staphylococcus aureus mupB conferring resistance to mupirocin	3000510	megares
16	MEG_5362|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation			megares
17	MEG_952|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	aadA3	3002603	megares
18	MEG_1661|Drugs|betalactams|Class_B_betalactamases|CFIA	CfiA24	3006916	megares
19	MEG_3972|Drugs|betalactams|Class_C_betalactamases|MIR	MIR-3	3002169	megares
20	MEG_1870|Drugs|betalactams|Class_C_betalactamases|CMY	CMY-31	3002042	megares
21	MEG_5937|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	QnrB9	3002723	megares
22	MEG_5966|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	QnrB38	3002753	megares
23	MEG_1863|Drugs|betalactams|Class_C_betalactamases|CMY	CMY-21	3002032	megares
24	MEG_5279|Drugs|betalactams|Class_A_betalactamases|OXY	OXY-2-13	3002408	megares
25	MEG_6968|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET31	tet(31)	3000476	megares
26	MEG_7337|Drugs|Glycopeptides|VanA-type_resistance_protein|VANA	vanA	3000010	megares
27	MEG_6337|Drugs|betalactams|Class_A_betalactamases|SHV	SHV-104	3001153	megares
28	MEG_1455|Drugs|betalactams|Class_A_betalactamases|BLAZ	PC1 beta-lactamase (blaZ)	3000621	megares
29	MEG_4799|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-281	3001736	megares
30	MEG_5901|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	QnrB22	3002737	megares
31	MEG_2182|Drugs|betalactams|Class_A_betalactamases|CTX	CTX-M-215	3005638	megares
32	MEG_5575|Drugs|betalactams|Class_C_betalactamases|PDC	PDC-116	3006494	megares
33	MEG_841|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	aadA8	3002608	megares
34	MEG_786|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	ANT(3'')-IIa	3004089	megares
35	MEG_2991|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSA	FosA6	3004111	megares
36	MEG_1253|Drugs|betalactams|Class_B_betalactamases|BLAB	BlaB-1	3005522	megares
37	MEG_5117|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-157	3001462	megares
38	MEG_1346|Drugs|betalactams|Class_A_betalactamases|BLAZ	PC1 beta-lactamase (blaZ)	3000621	megares
39	MEG_570|Drugs|betalactams|Class_C_betalactamases|ADC	ADC-114	3006292	megares
40	MEG_2408|Drugs|betalactams|Class_A_betalactamases|CTX	CTX-M-3	3001866	megares
41	MEG_2285|Drugs|betalactams|Class_A_betalactamases|CTX	CTX-M-51	3001913	megares
42	MEG_6236|Drugs|betalactams|Class_A_betalactamases|SHV	SHV-198	3005209	megares
43	MEG_5108|Drugs|betalactams|Class_D_betalactamases|OXA	OXA-435	3003162	megares
44	MEG_1097|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6	APH(6)-Id	3002660	megares
45	MEG_6391|Drugs|betalactams|Class_A_betalactamases|SHV	SHV-185	3003152	megares
46	MEG_6677|Drugs|betalactams|Class_A_betalactamases|TEM	TEM-169	3001035	megares
47	MEG_2115|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR	cpxA	3000830	megares
48	MEG_5368|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation			megares
49	MEG_2919|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR	floR	3002705	megares
50	MEG_7350|Drugs|Glycopeptides|VanB-type_resistance_protein|VANB	vanB	3000013	megares
51	MEG_491|Drugs|betalactams|Class_C_betalactamases|ACT	ACT-27	3001847	megares
