Original ID	ARO	Cut_Off	Database
MEG_65|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	3002540	Strict	megares
MEG_66|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	3002537	Loose	megares
MEG_67|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3	3002528	Strict	megares
MEG_366|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	3002581	Strict	megares
MEG_367|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	3002581	Strict	megares
MEG_394|Drugs|betalactams|Class_C_betalactamases|ACC	3006231	Perfect	megares
MEG_974|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	3002602	Strict	megares
MEG_975|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	3002602	Strict	megares
MEG_1080|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME	3002644	Strict	megares
MEG_1081|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME	3002652	Strict	megares
MEG_1097|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6	3002660	Strict	megares
MEG_1295|Drugs|betalactams|Class_A_betalactamases|BLAPAM	3007199	Perfect	megares
MEG_1296|Drugs|betalactams|Class_B_betalactamases|BLAPLA	3009030	Perfect	megares
MEG_1297|Drugs|betalactams|Class_B_betalactamases|BLAPLA	3009031	Perfect	megares
MEG_1312|Drugs|betalactams|Class_A_betalactamases|BLASGM	3006988	Strict	megares
MEG_1331|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1332|Drugs|betalactams|Class_A_betalactamases|BLAZ	3000621	Strict	megares
MEG_1333|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1334|Drugs|betalactams|Class_A_betalactamases|BLAZ	3000621	Strict	megares
MEG_1335|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1336|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1337|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1338|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1339|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1340|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1341|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1342|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1343|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1344|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1345|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1346|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1347|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
MEG_1348|Drugs|betalactams|Class_A_betalactamases|BLAZ	3008823	Strict	megares
