Original ID	Gene Name in CARD	ARO	Database
0|EAC4468893.1|1|1|emrC_Lis|emrC_Lis||1|QUATERNARY_AMMONIUM|QUATERNARY_AMMONIUM|multidrug_efflux_transporter_outer_membrane_subunit_EmrC	qacG	3007015	ncbi
0|EED0303793.1|1|1|stxB2j|stxB2j||1|STX2J|STX2|Shiga_toxin_Stx2j_subunit_B	IMP-44	3002235	ncbi
0|EEV0948227.1|1|1|stxA2o|stxA2o||1|STX2O|STX2|Shiga_toxin_Stx2o_subunit_A	msrE	3003109	ncbi
0|EEV0948228.1|1|1|stxB2o|stxB2o||1|STX2O|STX2|Shiga_toxin_Stx2o_subunit_B	IMP-41	3002232	ncbi
0|EGO5141043.1|1|1|arsR_LGI2_1|arsR_LGI2_1||1|ARSENITE|ARSENIC|As(III)-sensing_metalloregulatory_transcriptional_repressor_ArsR	mecI	3000124	ncbi
0|MBO4175406.1|1|1|mcr-9.2|mcr-9||1|COLISTIN|COLISTIN|phosphoethanolamine--lipid_A_transferase_MCR-9.2	MCR-9.1	3004684	ncbi
0|MBY0597968.1|1|1|entFM|entFM||1|||enterotoxin_EntFM	vanH gene in vanO cluster	3002948	ncbi
0|NDR16746.1|1|1|sel27|sel27||1|||staphylococcal_enterotoxin_type_27	fusC	3003733	ncbi
1000903631|WP_061154665.1|1|1|blaLEN-42|blaLEN|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_A_beta-lactamase_LEN-42	LEN-42	3004845	ncbi
1000909371|WP_061158039.1|1|1|blaTEM-156|blaTEM|hydrolase|2|BETA-LACTAM|BETA-LACTAM|class_A_beta-lactamase_TEM-156	TEM-156	3001022	ncbi
1001043515|WP_061189306.1|1|1|blaPDC-114|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-114	PDC-114	3006492	ncbi
1001044756|WP_061190338.1|1|1|blaPDC-226|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-226	PDC-226	3006605	ncbi
1001048246|WP_061193023.1|1|1|blaPDC-116|blaPDC|hydrolase|2|CEPHALOSPORIN|BETA-LACTAM|class_C_beta-lactamase_PDC-116	PDC-116	3006494	ncbi
