	Original ID	Gene Name in CARD	ARO	Database
0	mecD_1_KY013611	mecD	3004185	resfinder
1	blaGOB-15_1_AY775547	GOB-15	3004807	resfinder
2	blaOXA-283_1_AYHO01000005	OXA-283	3001738	resfinder
3	blaPLA2a_1_AY307385	PLA-2a	3006969	resfinder
4	blaZ_57_NZ_JURP01000126	PC1 beta-lactamase (blaZ)	3000621	resfinder
5	nimF_1_AJ515145	ErmW	3001306	resfinder
6	blaOXA-488_1_CP017969	OXA-488	3003645	resfinder
7	blaOXA-386_1_KF986254	OXA-386	3001572	resfinder
8	blaCMY-39_1_AB372224	CMY-39	3002050	resfinder
9	blaGES-7_1_HM453325	GES-7	3002336	resfinder
10	blaIMP-49_1_KP681694	IMP-49	3003657	resfinder
11	aph(6)-Id_5_18676889	APH(6)-Id	3002660	resfinder
12	blaTEM-87_1_AF250872	TEM-87	3000954	resfinder
13	blaTEM-198_1_AB700703	TEM-198	3001057	resfinder
14	qnrB11_1_EF653270			resfinder
15	mcr-3.22_1_NG060581	MCR-3.4	3004691	resfinder
16	tet(J)_2_AF038993	tet(J)	3000177	resfinder
17	blaSHV-157_1_JX121124	SHV-157	3001196	resfinder
18	dfrA26_1_AM403715	dfrA26	3002857	resfinder
19	blaOXY-1-5_5_AY077486			resfinder
20	blaOXA-240_1_JX089628	OXA-240	3001499	resfinder
21	blaOXA-460_1_KR061508	OXA-460	3003616	resfinder
22	blaOXA-117_1_GQ423625	OXA-117	3001442	resfinder
23	blaOXA-297_1_APRR01000006	OXA-297	3001752	resfinder
24	blaZ_108_FQPO01000005	PC1 beta-lactamase (blaZ)	3000621	resfinder
25	blaACT-15_1_JX440356	ACT-15	3001837	resfinder
26	mph(E)_1_DQ839391	mphE	3003741	resfinder
27	tet(D)_2_X65876	tet(D)	3000168	resfinder
28	blaOXA-436_1_KT959105	OXA-436	3003128	resfinder
29	blaIMP-5_1_AF290912	IMP-5	3002196	resfinder
30	tet(M)_12_FR671418	tetM	3000186	resfinder
31	blaSHV-134_1_HM559945	SHV-134	3001178	resfinder
32	blaOKP-A-12_1_AM850915	OKP-A-12	3002429	resfinder
33	blaCTX-M-29_1_AY267213	CTX-M-29	3001891	resfinder
34	blaZ_3_CP000732	PC1 beta-lactamase (blaZ)	3000621	resfinder
35	blaOXA-230_1_JQ422054	OXA-230	3001693	resfinder
36	blaOXY-2-7_7_Z49084	OXY-2-7	3002402	resfinder
37	blaTEM-1B_1_AY458016	TEM-1	3000873	resfinder
38	blaOXA-431_1_KM979378	OXA-431	3003124	resfinder
39	erm(T)_2_AY894138	ErmT	3000595	resfinder
40	blaZ_72_NZ_CUHG01000035	PC1 beta-lactamase (blaZ)	3000621	resfinder
41	blaTEM-210_1_KJ484630	TEM-210	3001387	resfinder
42	blaTEM-186_1_JN227084	TEM-186	3001046	resfinder
43	aadA16_1_EU675686	aadA16	3002616	resfinder
44	aph(3')-Ia_7_X62115	APH(3')-Ia	3002641	resfinder
45	blaCARB-30_1_NG_048734	CARB-30	3005566	resfinder
46	fosA6_1_KU254579	FosA6	3004111	resfinder
47	catQ_1_M55620	catQ	3002687	resfinder
48	blaOXA-315_1_KF057032	OXA-315	3001686	resfinder
49	sul1_37_AF188331	sul1	3000410	resfinder
50	blaLEN22_1_AM850912	LEN-22	3002469	resfinder
51	blaCTX-M-104_1_HQ833652	CTX-M-104	3001963	resfinder
52	blaLEN24_1_AM850914	LEN-24	3002471	resfinder
53	aph(2'')-If_2_AY701528			resfinder
54	blaCTX-M-198_1_KY646304	CTX-M-198	3005621	resfinder
55	blaOXA-63_1_AY619003	OXA-63	3001764	resfinder
56	blaGOB-14_1_AY647252	GOB-14	3004806	resfinder
57	blaCTX-M-14_1_AF252622	CTX-M-14	3001877	resfinder
58	blaOXY-6-3_3_AJ871876	OXY-6-3	3002415	resfinder
59	erm(C)_3_M17990	ErmC	3000250	resfinder
60	mre(A)_1_U92073	mreA	3007050	resfinder
61	VanLXY_1_EU250284	vanL	3002910	resfinder
62	VanLXY_1_EU250284	vanXY gene in vanL cluster	3002968	resfinder
63	blaNDM-23_1_MH450214	NDM-23	3004866	resfinder
64	blaOXA-208_1_KF305665	OXA-208	3001486	resfinder
65	blaGIM-1_1_JF414726	GIM-1	3000845	resfinder
66	dfrB7_1_DQ993182	DfrB9	3005350	resfinder
67	blaCTX-M-142_1_KF240809	CTX-M-142	3002000	resfinder
68	blaOXA-392_1_AB901044	OXA-392	3001578	resfinder
69	blaIMP-12_1_AJ420864	IMP-12	3002203	resfinder
70	erm(B)_22_X52632	ErmB	3000375	resfinder
71	blaOXA-557_1_KY126232	OXA-557	3005781	resfinder
72	blaCTX-M-137_1_KF790923	CTX-M-137	3001994	resfinder
73	blaTEM-166_1_FJ197316	TEM-166	3001032	resfinder
74	blaB-3_2_AF189299	BlaB-33	3005547	resfinder
75	blaOXA-179_1_HM570035	OXA-179	3001473	resfinder
76	blaOXA-550_1_KY682752	OXA-550	3005774	resfinder
77	blaOXA-156_1_KP771984	OXA-156	3001461	resfinder
78	blaCMY-43_1_FJ360626	CMY-43	3002054	resfinder
79	VanHAX_1_FJ866609	vanH gene in vanA cluster	3002942	resfinder
80	VanHAX_1_FJ866609	vanA	3000010	resfinder
81	VanHAX_1_FJ866609	vanX gene in vanA cluster	3002949	resfinder
82	blaOXA-479_1_KR182172	OXA-479	3003636	resfinder
83	blaLAP-1_1_EF026092	LAP-1	3004825	resfinder
84	blaSHV-109_1_EU418913	SHV-109	3001158	resfinder
85	tet(L)_5_X08034	tet(45)	3003196	resfinder
86	blaLEN15_1_AF452105	LEN-15	3002478	resfinder
87	cfiA14_1_FM200789	CfiA14	3006908	resfinder
88	blaCTX-M-127_1_MF196229	CTX-M-127	3001986	resfinder
89	blaCTX-M-163_1_KP681698	CTX-M-163	3003647	resfinder
90	lnu(A)_1_M14039	lnuA	3002835	resfinder
91	tet(X5)_1_CP040912	Tet(X5)	3005057	resfinder
92	ant(2'')-Ia_11_HM367620	ANT(2'')-Ia	3000230	resfinder
93	blaOXY-1-2_2_AJ871864	OXY-1-2	3002390	resfinder
94	blaCMY-124_1_KM985462	CMY-124	3003132	resfinder
95	blaOXA-224_1_JN412067	OXA-224	3001806	resfinder
96	blaSHV-107_1_AM922308	SHV-107	3001156	resfinder
97	blaOXA-130_1_EU547445	OXA-130	3001651	resfinder
98	blaZ_27_JDGZ01000043	PC1 beta-lactamase (blaZ)	3000621	resfinder
99	blaCMY-53_1_HQ336940	CMY-53	3002064	resfinder
100	tet(T)_1_L42544	tetT	3000193	resfinder
101	erm(R)_1_M11276	ErmR	3000594	resfinder
102	blaGOB-1_1_EF394442	GOB-48	3005696	resfinder
103	blaTEM-130_1_AJ866988	TEM-130	3000994	resfinder
104	blaTEM-153_1_KC149518	TEM-153	3001369	resfinder
105	mcr-1.11_1_KY853650	MCR-1.11	3004688	resfinder
106	blaFOX-7_1_AJ703796	FOX-7	3002160	resfinder
107	blaZ_19_JBMK01000007	PC1 beta-lactamase (blaZ)	3000621	resfinder
108	blaOXA-269_1_APQJ01000007	OXA-269	3001725	resfinder
109	optrA_8_KT862782	optrA	3003746	resfinder
110	blaLAT-1_1_X78117	LAT-1	3001857	resfinder
111	blaOXA-314_1_KF057031	OXA-314	3001685	resfinder
112	tet(O/W)-1_1_AY485126	tet(W/N/W)	3004442	resfinder
113	blaVIM-18_1_AM778091	VIM-18	3002288	resfinder
114	dfrA1_4_AB188271	dfrA1	3002854	resfinder
115	blaCTX-M-46_1_AY847147	CTX-M-46	3001908	resfinder
116	lsa(B)_1_AJ579365	lsaB	3003111	resfinder
117	blaOXY-2-3_3_AY077488	OXY-2-3	3002398	resfinder
118	blaCMY-144_1_KY066478	CMY-144	3005219	resfinder
119	blaIMP-15_1_AY553333	IMP-15	3002206	resfinder
120	blaCTX-M-191_1_KY271097	CTX-M-191	3005614	resfinder
121	blaFOX-8_1_HM565917	FOX-8	3002161	resfinder
122	blaOXA-249_1_HE963770	OXA-249	3001674	resfinder
123	aph(6)-Id_1_M28829	APH(6)-Id	3002660	resfinder
124	blaSHV-42_1_AF535130	SHV-42	3001100	resfinder
125	blaBEL-2_1_FJ666063	BEL-2	3002386	resfinder
126	blaSHV-8_1_U92041	SHV-8	3001067	resfinder
