Original ID	Gene Name in CARD	ARO	Database
JN129451.1.gene1.p01|FEATURES|VIM-30|beta-lactam|VIM	VIM-30	3002300	deeparg
YP_002385298|FEATURES|mdtN|multidrug|mdtN	mdtN	3003548	deeparg
gi:585322871:ref:WP_024204537.1:|FEATURES|emrA|multidrug|emrA	emrA	3000027	deeparg
JQ002629.1.gene1.p01|FEATURES|IMP-32|beta-lactam|IMP	IMP-32	3002223	deeparg
NC_010558.1.6275948.p01|FEATURES|qepA|fluoroquinolone|qepA	QepA2	3004103	deeparg
gi:488349287:ref:WP_002418672.1:|FEATURES|vanB|glycopeptide|vanB	vanB	3000013	deeparg
gi:446910356:ref:WP_000987612.1:|FEATURES|adeB|multidrug|adeB	adeB	3000775	deeparg
gi:695837578:ref:WP_032750955.1:|FEATURES|emrA|multidrug|emrA	Klebsiella pneumoniae KpnG	3004588	deeparg
gi:651585284:ref:WP_026580461.1:|FEATURES|class_A|beta-lactam|class_A	BcIII	3007101	deeparg
Q32DT3|FEATURES|arnA|polymyxin|arnA	arnA	3002985	deeparg
AJ312056.2.gene1.p01|FEATURES|cat_chloramphenicol_acetyltransferase|phenicol|cat_chloramphenicol_acetyltransferase	Streptococcus suis chloramphenicol acetyltransferase	3004455	deeparg
gi:585350004:ref:WP_024231618.1:|FEATURES|TolC|multidrug|TolC	TolC	3000237	deeparg
JE0138|FEATURES|aac(3)-II|aminoglycoside|aac(3)-II	AAC(3)-IIc	3002535	deeparg
gi:942448824:ref:WP_055314246.1:|FEATURES|mexH|multidrug|mexH	MexH	3000807	deeparg
YP_002937728|FEATURES|bacA|bacitracin|bacA	bacA	3002986	deeparg
gi:489200414:ref:WP_003109635.1:|FEATURES|tetR|tetracycline|tetR	nalC	3000818	deeparg
gi:560398734:ref:WP_023622078.1:|FEATURES|sdiA|unclassified|sdiA	sdiA	3000826	deeparg
gi:507086744:ref:WP_016157485.1:|FEATURES|TolC|multidrug|TolC	TolC	3000237	deeparg
gi:724471628:gb:AIY26267.1:|FEATURES|TolC|multidrug|TolC	TolC	3000237	deeparg
gi:695732140:ref:WP_032658638.1:|FEATURES|sdiA|unclassified|sdiA	sdiA	3000826	deeparg
gi:487382605:ref:WP_001654865.1:|FEATURES|mdtP|multidrug|mdtP	mdtP	3003550	deeparg
YP_106067|FEATURES|mexE|multidrug|mexE	adeG	3000778	deeparg
gi:950562188:ref:WP_057431811.1:|FEATURES|mexF|multidrug|mexF	adeF	3000777	deeparg
DQ519088.1.gene1.p01|FEATURES|OXA-94|beta-lactam|OXA	OXA-94	3001629	deeparg
AAF24171|FEATURES|vatE|MLS|vatE	vatE	3002844	deeparg
gi:554685678:ref:WP_023185565.1:|FEATURES|macB|MLS|macB	macB	3000535	deeparg
gi:1015890335:ref:WP_062865166.1:|FEATURES|macB|MLS|macB	macB	3000535	deeparg
gi:447004719:ref:WP_001081975.1:|FEATURES|mdtE|multidrug|mdtE	mdtE	3000795	deeparg
gi:656016562:ref:WP_029056449.1:|FEATURES|norA|multidrug|norA	norA	3000391	deeparg
ZP_04273511|FEATURES|class_A|beta-lactam|class_A	BcI	3002877	deeparg
gi:730303878:ref:WP_033978962.1:|FEATURES|tetR|tetracycline|tetR	nalD	3000819	deeparg
gi:966358723:ref:WP_058407068.1:|FEATURES|class_C|beta-lactam|class_C	TRU-1	3004450	deeparg
gi:1031652761:gb:ANG23007.1:|FEATURES|TEM-1|beta-lactam|TEM	TEM-1	3000873	deeparg
gi:745761480:ref:WP_039060165.1:|FEATURES|TolC|multidrug|TolC	TolC	3000237	deeparg
CAI43343|FEATURES|chloramphenicol_exporter|phenicol|chloramphenicol_exporter	cmlA4	3002694	deeparg
AF099139.1.gene1.p01|FEATURES|IND-1|beta-lactam|IND	IND-1	3002256	deeparg
gi:727197287:ref:WP_033658847.1:|FEATURES|class_A|beta-lactam|class_A	BcI	3002877	deeparg
gi:556479739:ref:WP_023331319.1:|FEATURES|TolC|multidrug|TolC	TolC	3000237	deeparg
gi:493872994:ref:WP_006819444.1:|FEATURES|mdtH|multidrug|mdtH	mdtH	3001216	deeparg
gi:307606148:emb:CBI42519.1:|FEATURES|ykkC|multidrug|ykkC	ykkC	3003063	deeparg
gi:920477870:ref:WP_052992011.1:|FEATURES|TolC|multidrug|TolC	TolC	3000237	deeparg
gi:896000765:ref:WP_049067803.1:|FEATURES|adeB|multidrug|adeB	adeB	3000775	deeparg
gi:487391485:ref:WP_001662771.1:|FEATURES|mdtF|multidrug|mdtF	mdtF	3000796	deeparg
gi:60392649:sp:O54281.1:MECI_STASR|FEATURES|mecI|beta-lactam|mecI	mecI	3000124	deeparg
gi:896501912:ref:WP_049409560.1:|FEATURES|metallo-beta-lactamase|beta-lactam|metallo-beta-lactamase	L1 beta-lactamase	3000582	deeparg
gi:980509810:ref:WP_059358358.1:|FEATURES|TolC|multidrug|TolC	TolC	3000237	deeparg
gi:928821630:ref:WP_053882393.1:|FEATURES|mdtN|multidrug|mdtN	mdtN	3003548	deeparg
P60865|FEATURES|fosB|fosfomycin|fosB	FosB2	3005100	deeparg
NC_002695.1.914737.p01|FEATURES|emrA|multidrug|emrA	emrA	3000027	deeparg
YP_001972437|FEATURES|metallo-beta-lactamase|beta-lactam|metallo-beta-lactamase	L1 beta-lactamase	3000582	deeparg
gi:1012702223:ref:WP_062814406.1:|FEATURES|emrA|multidrug|emrA	Klebsiella pneumoniae KpnG	3004588	deeparg
ABP68837|FEATURES|qnrB|fluoroquinolone|qnrB	QnrB6	3002720	deeparg
gi:727711724:ref:WP_033835092.1:|FEATURES|metallo-beta-lactamase|beta-lactam|metallo-beta-lactamase	L1 beta-lactamase	3000582	deeparg
AAL12234|FEATURES|fusB|fusaric-acid|fusB	fusB	3003552	deeparg
gi:662754041:ref:WP_030125200.1:|FEATURES|multidrug_ABC_transporter|multidrug|multidrug_ABC_transporter	novA	3002522	deeparg
gi:851905047:ref:WP_048213240.1:|FEATURES|TolC|multidrug|TolC	TolC	3000237	deeparg
CP000647.1.gene4257.p01|FEATURES|transcriptional_regulatory_protein_CpxR_cpxR|unclassified|transcriptional_regulatory_protein_CpxR_cpxR	Pseudomonas aeruginosa CpxR	3004054	deeparg
YP_405948|FEATURES|mdtM|multidrug|mdtM	mdtM	3001214	deeparg
gi:447124504:ref:WP_001201760.1:|FEATURES|macA|MLS|macA	macA	3000533	deeparg
gi:1031626545:gb:ANG10578.1:|FEATURES|TEM-1|beta-lactam|TEM	TEM-1	3000873	deeparg
gi:1031635111:gb:ANG14588.1:|FEATURES|TEM-1|beta-lactam|TEM	TEM-234	3005265	deeparg
AF452105.1.gene1.p1|FEATURES|LEN-15|beta-lactam|LEN	LEN-15	3002478	deeparg
gi:489009547:ref:WP_002920107.1:|FEATURES|cmeB|multidrug|cmeB	cmeB	3000784	deeparg
gi:489421661:ref:WP_003327389.1:|FEATURES|ykkD|multidrug|ykkD	ykkD	3003064	deeparg
gi:920342141:ref:WP_052979841.1:|FEATURES|class_C|beta-lactam|class_C	Escherichia coli ampC beta-lactamase	3004290	deeparg
CAE53424|FEATURES|dfrA20|diaminopyrimidine|dfrA20	dfrA20	3003016	deeparg
gi:928832860:ref:WP_053889610.1:|FEATURES|emrA|multidrug|emrA	emrA	3000027	deeparg
NC_010063.5774822.p01|FEATURES|blaZ|beta-lactam|blaZ	PC1 beta-lactamase (blaZ)	3000621	deeparg
gi:742921897:ref:WP_039023559.1:|FEATURES|floR|phenicol|floR	floR	3002705	deeparg
gi:757721768:ref:WP_042949788.1:|FEATURES|macA|MLS|macA	macA	3000533	deeparg
CAA63057|FEATURES|mdtH|multidrug|mdtH	mdtH	3001216	deeparg
DQ075245.1.gene1.p01|FEATURES|TEM-143|beta-lactam|TEM	TEM-143	3001006	deeparg
gi:664170275:ref:WP_030704520.1:|FEATURES|aph(6)-I|aminoglycoside|aph(6)-I	APH(6)-Ia	3002657	deeparg
gi:516511796:ref:WP_017900234.1:|FEATURES|sdiA|unclassified|sdiA	sdiA	3000826	deeparg
gi:585355297:ref:WP_024236900.1:|FEATURES|macA|MLS|macA	macA	3000533	deeparg
P52664|FEATURES|class_A|beta-lactam|class_A	FONA-2	3004789	deeparg
AF079138.1.orf0.gene.p01|FEATURES|erm(31)|MLS|erm(31)	Erm(31)	3000598	deeparg
AJ005045.gene.p01|FEATURES|CTX-M-7|beta-lactam|CTX-M	CTX-M-7	3001870	deeparg
gi:740619692:ref:WP_038405204.1:|FEATURES|tetR|tetracycline|tetR	MexL	3003710	deeparg
NC_002695.1.915750.p01|FEATURES|mdtE|multidrug|mdtE	mdtE	3000795	deeparg
gi:1040574401:gb:OBU08589.1:|FEATURES|mdtH|multidrug|mdtH	mdtH	3001216	deeparg
gi:798900708:ref:WP_045903201.1:|FEATURES|sdiA|unclassified|sdiA	sdiA	3000826	deeparg
gi:1000987514:ref:WP_061186397.1:|FEATURES|fosB|fosfomycin|fosB	FosBx1	3007372	deeparg
HM113558.1.gene1.p01|FEATURES|OXA-172|beta-lactam|OXA	OXA-172	3001656	deeparg
gi:487399647:ref:WP_001669103.1:|FEATURES|mdtP|multidrug|mdtP	mdtP	3003550	deeparg
gi:487586482:ref:WP_001724981.1:|FEATURES|cmlA|phenicol|cmlA	cmlA1	3002693	deeparg
gi:691136184:ref:WP_032050198.1:|FEATURES|macA|MLS|macA	macA	3000533	deeparg
gi:895818174:ref:WP_048942695.1:|FEATURES|lsa|MLS|lsa	lsaA	3000300	deeparg
gi:759396701:ref:WP_043121260.1:|FEATURES|class_C|beta-lactam|class_C	CepS	3003553	deeparg
gi:447203855:ref:WP_001281111.1:|FEATURES|vanR|glycopeptide|vanR	vanR gene in vanA cluster	3002919	deeparg
AY162283.2.gene3.p01|FEATURES|OXA-4|beta-lactam|OXA	OXA-4	3001399	deeparg
gi:950546578:ref:WP_057422848.1:|FEATURES|mexF|multidrug|mexF	adeF	3000777	deeparg
gi:1031634941:gb:ANG14509.1:|FEATURES|TEM-1|beta-lactam|TEM	TEM-1	3000873	deeparg
gi:686319989:ref:WP_031875473.1:|FEATURES|norA|multidrug|norA	Staphylococcus aureus norA	3004667	deeparg
gi:700659240:gb:AIU96746.1:|FEATURES|ermC|MLS|ermC	ErmC	3000250	deeparg
AF336095.1.gene1.p01|FEATURES|omp36|multidrug|omp36	Klebsiella aerogenes Omp36	3003385	deeparg
gi:995942695:gb:AMJ32665.1:|FEATURES|tetD|tetracycline|tetD	tet(D)	3000168	deeparg
gi:998244991:ref:WP_061098586.1:|FEATURES|mdtH|multidrug|mdtH	mdtH	3001216	deeparg
YP_002384189|FEATURES|mdtM|multidrug|mdtM	mdtM	3001214	deeparg
gi:486419591:ref:WP_001612185.1:|FEATURES|mdtP|multidrug|mdtP	mdtP	3003550	deeparg
gi:1043328611:ref:WP_065365843.1:|FEATURES|class_C|beta-lactam|class_C	ACT-77	3006271	deeparg
gi:976151217:ref:WP_059309422.1:|FEATURES|tetR|tetracycline|tetR	nalD	3000819	deeparg
JF274246.1.gene1.p01|FEATURES|CTX-M-112|beta-lactam|CTX-M	CTX-M-112	3001972	deeparg
CAF21854|FEATURES|norA|multidrug|norA	norA	3000391	deeparg
gi:519089566:ref:WP_020245441.1:|FEATURES|TolC|multidrug|TolC	TolC	3000237	deeparg
gi:491130228:ref:WP_004988656.1:|FEATURES|class_C|beta-lactam|class_C	Escherichia coli ampC beta-lactamase	3004290	deeparg
gi:928844228:ref:WP_053895302.1:|FEATURES|emrA|multidrug|emrA	emrA	3000027	deeparg
gi:545231548:ref:WP_021531156.1:|FEATURES|macB|MLS|macB	macB	3000535	deeparg
ACB17069|FEATURES|mdtO|multidrug|mdtO	mdtO	3003549	deeparg
GU371926.1.gene94.p01|FEATURES|TEM-33|beta-lactam|TEM	TEM-33	3000903	deeparg
CAP58290|FEATURES|SHV-2|beta-lactam|SHV	SHV-106	3001155	deeparg
gi:1031851380:ref:WP_064173626.1:|FEATURES|TolC|multidrug|TolC	TolC	3000237	deeparg
YP_002040143|FEATURES|macB|MLS|macB	macB	3000535	deeparg
gi:488959735:ref:WP_002870772.1:|FEATURES|cmeB|multidrug|cmeB	cmeB	3000784	deeparg
gi:829798578:ref:WP_047349012.1:|FEATURES|mdtH|multidrug|mdtH	mdtH	3001216	deeparg
HE999704.1.gene1047.p01|FEATURES|msrA|MLS|msrA	lin	3004651	deeparg
gi:921331017:emb:CTX12516.1:|FEATURES|mdtA|multidrug|mdtA	mdtA	3000792	deeparg
gi:1011917778:ref:WP_062729839.1:|FEATURES|mdtH|multidrug|mdtH	mdtH	3001216	deeparg
gi:545296874:ref:WP_021577089.1:|FEATURES|acrB|multidrug|acrB	acrB	3000216	deeparg
AAK63223|FEATURES|class_A|beta-lactam|class_A	Sed-1	3003561	deeparg
gi:959897454:ref:WP_058165306.1:|FEATURES|tetR|tetracycline|tetR	nalC	3000818	deeparg
gi:446053005:ref:WP_000130860.1:|FEATURES|mdtD|multidrug|mdtD	emrB	3000074	deeparg
gi:502669650:ref:WP_012905508.1:|FEATURES|class_A|beta-lactam|class_A	Sed-1	3003561	deeparg
AM982522.2.gene1.p01|FEATURES|CTX-M-78|beta-lactam|CTX-M	CTX-M-78	3001939	deeparg
AM051149.1.gene1.p01|FEATURES|OKP-A|beta-lactam|OKP-A	OKP-A-10	3002427	deeparg
CP000647.1.gene911.p01|FEATURES|macA|MLS|macA	macA	3000533	deeparg
gi:485699692:ref:WP_001333029.1:|FEATURES|emrB|multidrug|emrB	emrB	3000074	deeparg
gi:315276252:gb:EFU39596.1:|FEATURES|fosB|fosfomycin|fosB	FosM1	3007097	deeparg
Q52360|FEATURES|tetQ|tetracycline|tetQ	tet(Q)	3000191	deeparg
gi:686319982:ref:WP_031875468.1:|FEATURES|mepA|multidrug|mepA	mepA	3000026	deeparg
AAD42184|FEATURES|vanD|glycopeptide|vanD	vanD	3000005	deeparg
gi:506486765:ref:WP_015963310.1:|FEATURES|emrA|multidrug|emrA	Klebsiella pneumoniae KpnG	3004588	deeparg
gi:949697262:ref:WP_057056299.1:|FEATURES|rmtC|aminoglycoside|rmtC	rmtC	3000861	deeparg
gi:779813787:ref:WP_045333976.1:|FEATURES|mdtH|multidrug|mdtH	mdtH	3001216	deeparg
gi:779866092:ref:WP_045354443.1:|FEATURES|macA|MLS|macA	macA	3000533	deeparg
AF155139.2.gene4.p01|FEATURES|vanY|glycopeptide|vanY	vanY gene in vanF cluster	3002958	deeparg
Q8FFM1|FEATURES|arnA|polymyxin|arnA	arnA	3002985	deeparg
gi:779872998:ref:WP_045357408.1:|FEATURES|fosA|fosfomycin|fosA	FosA2	3002804	deeparg
gi:770791620:ref:WP_045134670.1:|FEATURES|macA|MLS|macA	macA	3000533	deeparg
gi:514421161:ref:WP_016568324.1:|FEATURES|mexF|multidrug|mexF	adeF	3000777	deeparg
NC_011595.7057907.p01|FEATURES|mexB|multidrug|mexB	MexB	3000378	deeparg
NP_815950|FEATURES|vanX|glycopeptide|vanX	vanX gene in vanB cluster	3002950	deeparg
gi:446669109:ref:WP_000746455.1:|FEATURES|macA|MLS|macA	macA	3000533	deeparg
gi:915870017:ref:WP_050918514.1:|FEATURES|tetA|tetracycline|tetA	tet(A)	3000165	deeparg
gi:501166982:ref:WP_012210985.1:|FEATURES|tetL|tetracycline|tetL	tet(45)	3003196	deeparg
gi:488156254:ref:WP_002227462.1:|FEATURES|mdtK|multidrug|mdtK	PmpM	3004077	deeparg
